,id,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Fantavoto Media,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
3727,2161,Haas,25.0,16.0,C,3.0,3.0,5.90625,5.958333333333333,5.933500656114433,0.02725065611443256,0.05208333333333304,-0.02483267721890048
3756,2167,Orsolini,24.0,29.0,C,15.0,15.0,6.724137931034483,7.09375,6.5893467317811005,-0.13479119925338257,0.3696120689655169,-0.5044032682188995
3787,2172,Barak,26.0,29.0,C,22.0,21.0,7.482758620689655,5.967741935483871,6.748553712218957,-0.7342049084706979,-1.5150166852057838,0.780811776735086
3867,2194,Calhanoglu,27.0,34.0,C,19.0,18.0,7.161764705882353,6.742424242424242,6.569512741443259,-0.592251964439094,-0.41934046345811105,-0.17291150098098296
3973,2253,Bandinelli,26.0,35.0,C,6.0,5.0,6.0,5.914285714285715,6.053639638524655,0.05363963852465492,-0.08571428571428541,0.13935392423894033
4013,2274,Valoti,27.0,0.0,C,5.0,5.0,,5.84375,6.133682907562203,,,0.2899329075622026
4190,2334,Leris,23.0,0.0,C,3.0,3.0,,5.796875,6.059382017463762,,,0.26250701746376226
4218,2379,Rabiot,26.0,32.0,C,7.0,7.0,5.71875,7.03125,5.976387648020004,0.2576376480200038,1.3125,-1.0548623519799962
4229,2391,Ekdal,32.0,26.0,C,7.0,7.0,5.6923076923076925,5.790322580645161,5.869498635586324,0.1771909432786316,0.09801488833746852,0.07917605494116309
4234,2392,Walace,26.0,36.0,C,7.0,7.0,5.861111111111111,5.891891891891892,5.925398008711258,0.06428689760014716,0.03078078078078139,0.03350611681936577
4247,2432,Zakaria,24.0,9.0,C,0.0,0.0,6.277777777777778,5.75,6.0136978000529355,-0.26407997772484215,-0.5277777777777777,0.2636978000529355
4287,2528,Matic,32.0,0.0,C,7.0,7.0,,6.314285714285714,5.983038496746841,,,-0.33124721753887343
4292,2529,Mkhitaryan,32.0,31.0,C,16.0,16.0,6.82258064516129,6.387096774193548,6.563673842740632,-0.25890680242065844,-0.435483870967742,0.17657706854708355
4336,2625,Soriano,30.0,35.0,C,12.0,12.0,5.871428571428571,6.222222222222222,6.176441451108129,0.30501287967955815,0.3507936507936513,-0.04578077111409318
4346,2638,Wijnaldum,30.0,0.0,C,17.0,17.0,,6.535714285714286,6.237304262029367,,,-0.29841002368491854
4352,2639,Bakayoko,26.0,14.0,C,2.0,2.0,5.678571428571429,5.833333333333333,5.898119058983919,0.2195476304124906,0.1547619047619042,0.06478572565058638
4479,2741,Pessina,24.0,27.0,C,13.0,13.0,6.055555555555555,6.571428571428571,6.2358884111807775,0.18033285562522217,0.5158730158730158,-0.33554016024779365
4552,2766,Zaniolo,22.0,28.0,C,0.0,0.0,6.017857142857143,5.884615384615385,6.216545897188546,0.19868875433140243,-0.1332417582417582,0.33193051257316064
4617,2789,Meite',27.0,0.0,C,7.0,8.0,,5.774193548387097,5.950824850066897,,,0.1766313016797998
