,id,Stagione,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Voto Media,Voto Media Storica,Fantavoto Media,Fantavoto Media Storica,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
9318,2841,2021.0,Vlahovic,21.0,36,A,40.0,40.0,6.402777777777778,6.18141592920354,8.347222222222221,7.504424778761062,7.074074074074074,7.619870807798948,-0.7273514144232731,-1.273148148148147,0.5457967337248739
9606,4179,2021.0,Gonzalez N.,23.0,33,A,20.0,20.0,6.348484848484849,6.348484848484849,7.106060606060606,7.106060606060606,6.791666666666667,6.825724165889145,-0.2803364401714612,-0.31439393939393945,0.03405749922247825
9624,4184,2021.0,Brekalo,23.0,32,A,16.0,16.0,6.078125,6.078125,6.78125,6.78125,6.0,6.509433288768469,-0.27181671123153084,-0.78125,0.5094332887684692
9660,4200,2021.0,Giroud,34.0,29,A,28.0,28.0,6.258620689655173,6.258620689655173,7.431034482758621,7.431034482758621,7.424242424242424,7.065627829893102,-0.3654066528655191,-0.00679205851619713,-0.35861459434932197
9750,4268,2021.0,Arnautovic,32.0,33,A,27.0,26.0,6.2727272727272725,6.2727272727272725,7.393939393939394,7.393939393939394,7.738095238095238,7.035009862996592,-0.35892953094280156,0.34415584415584455,-0.7030853750986461
10038,4359,2021.0,Piccoli,20.0,17,A,13.0,12.0,5.852941176470588,5.9375,6.029411764705882,6.3875,6.175,6.240935248189994,0.21152348348411198,0.14558823529411757,0.06593524818999441
10110,4371,2021.0,Raspadori,21.0,36,A,20.0,20.0,6.069444444444445,6.128378378378378,6.888888888888889,6.844594594594595,6.1923076923076925,6.656688962408365,-0.2321999264805239,-0.6965811965811968,0.46438127010067287
10524,4436,2021.0,Cambiaghi,20.0,0,A,6.0,6.0,6.0,6.0,,6.660377358490566,6.803571428571429,6.264617948210077,,,-0.5389534803613518
10893,4510,2021.0,Rafael Leao,22.0,34,A,31.0,31.0,6.632352941176471,6.252631578947368,7.838235294117647,7.110526315789474,7.8428571428571425,7.270249819522711,-0.567985474594936,0.004621848739495782,-0.5726073233344318
10947,4517,2021.0,Lozano,26.0,30,A,18.0,18.0,6.116666666666666,6.130681818181818,6.733333333333333,6.846590909090909,6.390625,6.772280093843501,0.03894676051016788,-0.3427083333333334,0.38165509384350127
11073,4661,2021.0,Osimhen,22.0,27,A,35.0,35.0,6.481481481481482,6.411764705882353,7.981481481481482,7.794117647058823,9.140625,7.346789630224862,-0.63469185125662,1.1591435185185182,-1.7938353697751381
11145,4730,2021.0,Lookman,23.0,0,A,13.0,15.0,6.0,6.0,,6.660377358490566,7.854838709677419,6.487436373499772,,,-1.3674023361776468
11487,4923,2021.0,Colombo,19.0,0,A,7.0,6.0,6.0,5.9,,5.9,6.287878787878788,6.266814598933041,,,-0.02106418894574702
12018,5071,2021.0,Jese',28.0,0,A,8.0,8.0,6.0,6.0,,6.660377358490566,6.409090909090909,6.368236817601172,,,-0.040854091489737066
12027,5086,2021.0,Zirkzee,20.0,0,A,7.0,7.0,6.0,5.625,,5.625,6.421052631578948,6.251857654857448,,,-0.1691949767215002
12126,5292,2021.0,Lammers,24.0,2,A,15.0,14.0,6.0,5.970588235294118,6.0,6.323529411764706,6.0,6.244676746359392,0.24467674635939218,0.0,0.24467674635939218
12207,5311,2021.0,Shomurodov,26.0,28,A,12.0,11.0,6.071428571428571,6.11864406779661,6.5,6.737288135593221,5.9523809523809526,6.522233238604237,0.02223323860423676,-0.5476190476190474,0.5698522862232842
12351,5336,2021.0,Nzola,24.0,21,A,14.0,13.0,5.904761904761905,6.076086956521739,6.190476190476191,6.934782608695652,7.387096774193548,6.298549173934162,0.108072983457971,1.1966205837173574,-1.0885476002593863
12540,5394,2021.0,Gaich,22.0,0,A,4.0,3.0,6.0,5.7,,6.066666666666666,6.09375,6.145767091662241,,,0.052017091662240666
12549,5395,2021.0,Braaf,25.0,0,A,1.0,2.0,6.0,6.125,,6.875,5.5,6.172477877955303,,,0.6724778779553029
12693,5436,2021.0,Raimondo,17.0,1,A,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.098443731364644,0.09844373136464402,0.0,0.09844373136464402
12711,5439,2021.0,Kallon,20.0,15,A,2.0,2.0,5.9,5.9375,5.866666666666666,5.90625,6.0,6.067774549248493,0.20110788258182666,0.13333333333333375,0.06777454924849291
12837,5460,2021.0,Satriano,20.0,4,A,14.0,13.0,6.0,6.0,6.0,6.0,6.048387096774194,6.3780208380000705,0.37802083800007047,0.04838709677419395,0.3296337412258765
12891,5471,2021.0,Djuric,31.0,33,A,11.0,10.0,6.045454545454546,6.045454545454546,6.53030303030303,6.53030303030303,6.035714285714286,6.419395074416103,-0.11090795588692703,-0.4945887445887447,0.38368078870181765
13044,5500,2021.0,Cancellieri,19.0,12,A,7.0,7.0,6.041666666666667,6.041666666666667,6.25,6.25,5.85,6.085270787903779,-0.16472921209622093,-0.40000000000000036,0.23527078790377942
13152,5512,2021.0,De Luca,23.0,0,A,4.0,4.0,6.0,6.0,,6.660377358490566,5.75,6.4060597364531375,,,0.6560597364531375
13179,5515,2021.0,Okereke,23.0,32,A,13.0,13.0,5.921875,5.921875,6.46875,6.46875,6.515151515151516,6.525231731921224,0.056481731921223854,0.04640151515151558,0.010080216769708272
